950	298	
93	60	95
69	96	87
100	87	49
55	96	46
86	91	67
78	63	94
43	62	67
57	89	69
49	99	82
86	58	98
89	46	64
58	48	92
75	86	94
67	69	76
99	95	97
44	49	97
91	72	95
47	95	49
97	84	96
69	56	81
93	61	99
74	97	89
59	48	75
75	90	52
70	96	97
56	81	46
46	42	77
56	88	75
52	55	48
69	93	85
67	56	80
93	88	45
96	87	62
53	81	63
62	85	68
53	97	79
100	70	85
69	46	88
70	55	99
76	72	55
60	49	84
61	52	48
67	93	62
56	50	94
52	53	61
76	49	98
90	100	78
53	51	48
67	67	65
42	73	51
82	97	72
82	70	89
92	98	83
99	63	70
97	57	51
100	50	48
48	55	49
96	74	70
74	66	49
99	48	98
60	60	99
93	74	66
42	47	100
91	46	82
84	100	47
94	81	75
92	69	92
66	54	63
61	64	84
74	79	58
50	76	62
75	100	55
52	51	83
43	55	92
79	73	55
68	100	45
94	43	46
97	92	71
65	56	74
72	49	62
55	85	69
96	55	62
88	58	89
42	96	89
85	98	93
55	75	85
81	91	52
75	80	67
74	69	88
90	56	98
99	78	87
43	68	69
69	67	77
63	52	52
73	48	91
91	88	45
76	56	70
76	86	62
65	90	48
65	70	47
50	89	63
64	85	66
55	41	72
43	79	88
98	70	53
41	59	67
48	74	70
70	92	53
77	48	56
90	40	65
97	92	46
66	71	66
67	73	84
73	64	51
63	55	79
90	40	87
91	62	98
70	74	64
85	97	69
56	67	87
77	68	91
85	63	81
64	97	57
60	45	96
86	60	69
80	67	66
51	68	55
59	58	58
65	85	79
44	79	96
52	58	47
44	64	46
68	47	98
65	51	78
99	63	75
85	53	54
78	62	72
60	76	64
84	69	64
99	81	65
99	77	93
60	70	89
55	100	83
64	83	73
69	42	68
95	56	65
50	86	84
57	48	62
89	79	100
71	40	84
64	41	80
88	83	74
97	52	86
68	93	95
100	62	94
41	83	73
87	61	93
71	42	47
62	84	71
71	56	49
50	55	55
57	56	81
73	73	98
100	93	88
56	66	70
59	98	54
63	99	92
68	79	79
55	88	97
97	74	80
60	97	76
61	100	83
52	41	56
76	63	97
55	66	56
78	85	86
51	42	74
98	87	55
70	62	100
45	89	68
71	53	72
99	88	82
96	88	68
47	67	99
62	75	54
48	51	50
85	55	86
56	92	61
44	94	51
94	48	78
69	43	55
93	98	90
45	64	64
71	73	92
60	96	61
65	61	59
44	95	84
44	60	58
64	80	92
67	76	96
76	48	50
82	53	50
72	52	53
83	95	52
41	75	81
85	69	93
60	100	57
69	76	52
53	47	68
72	99	66
64	94	89
92	73	81
46	80	68
95	81	83
89	69	78
80	77	71
54	54	94
93	50	58
79	100	59
75	66	88
78	63	70
45	55	57
81	68	70
81	94	56
51	77	78
91	91	89
82	61	58
93	68	69
42	95	77
51	54	49
95	90	51
96	96	73
79	53	60
100	96	94
51	96	86
41	55	62
81	65	46
81	86	54
71	76	89
82	48	77
86	52	63
41	40	98
56	96	80
98	50	46
41	58	71
41	58	100
78	43	80
60	49	70
86	100	99
55	100	98
86	79	89
75	72	98
84	78	73
97	46	77
83	81	92
98	85	63
55	46	90
44	76	57
61	96	72
68	59	96
65	68	68
66	89	67
50	46	76
84	51	91
77	74	86
58	71	93
53	98	81
100	63	83
53	53	67
59	52	75
89	96	58
86	46	92
44	73	84
61	52	97
49	75	76
55	84	79
85	55	97
50	99	46
97	98	84
55	88	51
65	57	67
53	52	47
41	98	73
88	61	60
57	77	62
47	83	96
50	79	58
41	66	67
80	56	57
93	96	62
93	99	62
42	61	62
43	70	70
88	95	53
56	77	55
54	54	52
92	63	70
43	69	92
43	43	94
57	97	74
44	42	51
86	77	54
44	77	95
94	41	72
79	40	67
85	93	97
48	49	76
72	88	89
88	52	46
55	54	48
65	54	66
67	84	95
48	81	71
78	54	65
66	61	65
63	80	68
64	43	70
44	68	50
45	64	86
44	82	97
70	46	60
59	58	89
49	64	51
79	43	97
55	46	46
98	86	59
60	99	73
92	70	50
75	56	46
44	69	66
43	100	90
79	85	61
60	53	45
87	91	84
61	46	97
57	91	71
71	71	54
71	71	93
50	72	59
97	69	76
67	79	92
64	40	52
76	54	93
90	51	56
78	41	67
91	81	57
57	72	47
89	97	51
76	82	82
65	93	58
47	85	74
55	78	99
78	47	69
95	40	51
49	84	100
96	54	76
54	49	86
54	85	90
78	45	49
92	85	60
55	80	77
73	52	69
60	73	88
98	64	85
90	61	68
47	87	56
68	99	91
91	77	57
87	43	50
90	69	51
70	75	48
100	77	92
77	41	61
88	80	92
91	68	90
83	62	83
82	46	60
59	73	93
77	62	58
56	49	73
67	76	47
63	56	58
77	74	100
49	81	63
43	96	53
53	86	52
69	42	58
84	68	99
71	75	54
72	44	85
42	95	94
89	44	53
89	97	48
98	89	83
50	50	55
52	41	70
80	43	99
49	49	47
47	83	47
97	78	99
58	53	89
62	89	98
74	55	80
91	64	45
77	93	77
54	62	75
86	89	97
76	63	75
43	87	86
93	88	73
80	54	52
97	73	52
94	49	87
76	63	70
68	72	69
100	98	65
99	85	47
90	83	97
59	88	56
58	45	55
84	83	96
48	46	77
76	66	71
59	82	66
59	43	70
61	97	53
48	75	99
58	96	69
90	60	91
82	85	82
51	62	92
65	47	59
42	76	74
65	84	71
66	63	68
41	49	56
89	46	88
49	57	57
95	82	62
89	46	98
60	68	94
58	60	69
91	84	99
96	84	60
91	77	75
76	78	72
49	69	52
90	90	71
78	84	72
43	80	65
79	60	70
77	60	56
73	99	87
63	71	75
88	44	46
97	63	48
43	85	95
72	76	58
60	87	81
65	59	51
41	65	96
82	74	80
82	44	51
74	44	66
68	96	54
57	98	92
67	61	86
99	74	46
59	93	51
82	81	68
56	53	87
81	87	92
64	52	58
100	97	59
97	95	59
67	96	74
96	51	72
46	69	94
48	56	79
79	49	57
52	45	67
47	94	76
89	87	54
83	95	81
77	83	50
85	50	62
56	64	85
65	83	57
51	62	100
81	59	61
70	83	84
46	66	82
73	96	64
43	67	61
48	76	60
86	68	80
92	58	94
88	98	98
55	94	59
74	40	92
69	92	46
44	65	80
100	83	93
59	48	51
49	97	58
51	82	50
82	89	50
46	67	47
77	82	65
80	71	70
71	40	51
80	93	95
66	60	86
89	96	84
57	71	68
73	96	99
76	61	97
70	43	57
41	44	61
83	73	66
62	49	77
87	80	84
75	48	84
94	93	62
55	75	87
67	99	48
97	60	74
44	46	78
94	47	52
77	52	58
67	76	75
58	61	58
92	79	62
55	89	54
61	54	90
84	43	77
75	45	93
61	50	91
86	86	100
96	100	81
58	63	84
60	65	52
43	76	58
59	92	45
76	51	83
93	88	68
58	51	84
55	80	92
42	62	82
62	95	54
45	99	52
78	86	78
68	94	93
71	83	52
57	92	78
65	69	49
81	78	87
59	96	96
73	86	55
53	51	65
76	77	82
51	60	53
46	77	77
84	49	88
57	49	79
46	73	75
69	52	88
65	72	46
58	65	84
95	51	64
85	97	85
87	73	76
65	41	53
85	96	79
93	58	72
95	54	95
95	65	75
48	77	49
60	72	59
87	64	67
48	76	93
69	57	60
81	93	56
60	46	84
87	61	94
98	54	65
66	91	61
90	42	77
77	90	90
80	75	54
42	86	54
77	64	74
92	90	72
98	62	78
79	47	96
100	72	98
95	99	50
54	69	85
43	48	69
